doro,one,two,three,delta
서울특별시 강동구 강동대로53길 49,1849,1925,2349,500 
서울특별시 강동구 강동대로53길 68,1948,1926,1926,-22 
서울특별시 강동구 강동대로55길 68,1725,0,2033,308 
서울특별시 강동구 고덕로 130,2807,4071,4544,1737 
서울특별시 강동구 고덕로 131,3144,3245,4825,1681 
서울특별시 강동구 고덕로 210,3470,3433,4591,1121 
서울특별시 강동구 고덕로 240,2831,3416,4105,1274 
서울특별시 강동구 고덕로 427,2536,2454,4078,1542 
서울특별시 강동구 고덕로 52,1822,2369,2168,346 
서울특별시 강동구 고덕로 52-11,2043,2140,2451,408 
서울특별시 강동구 고덕로 64,2343,3227,3306,963 
서울특별시 강동구 고덕로10길 30,1736,0,2351,615 
서울특별시 강동구 고덕로19길 30,2257,2823,2917,660 
서울특별시 강동구 고덕로20나길 49,1604,2083,2688,1084 
서울특별시 강동구 고덕로24가길 4,1254,0,1783,529 
서울특별시 강동구 고덕로25길 13-11,2384,2435,2275,-109 
서울특별시 강동구 고덕로27길 33-27,1207,1451,1451,244 
서울특별시 강동구 고덕로27길 36,3036,3830,4925,1889 
서울특별시 강동구 고덕로38길 34-8,2790,2240,2222,-568 
서울특별시 강동구 고덕로61길 37,2797,3115,4060,1263 
서울특별시 강동구 고덕로62길 126,2218,2760,3314,1096 
서울특별시 강동구 고덕로62길 29,2782,3187,3808,1026 
서울특별시 강동구 고덕로62길 76,2735,2995,3848,1113 
서울특별시 강동구 고덕로80길 134,3630,4457,5727,2097 
서울특별시 강동구 고덕로97길 20,2324,2528,3154,830 
서울특별시 강동구 고덕로97길 29,2609,2609,3201,592 
서울특별시 강동구 구천면로 144,3690,4185,4028,338 
서울특별시 강동구 구천면로 189,1757,1755,2300,543 
서울특별시 강동구 구천면로 278,2007,1946,2602,595 
서울특별시 강동구 구천면로 297-5,1667,1478,1394,-273 
서울특별시 강동구 구천면로 365-13,2088,2397,2660,572 
서울특별시 강동구 구천면로 366,2337,3176,3410,1073 
서울특별시 강동구 구천면로 557,2216,2347,3388,1172 
서울특별시 강동구 구천면로13길 17,1934,1984,2431,497 
서울특별시 강동구 구천면로17길 18,1442,1321,1761,319 
서울특별시 강동구 구천면로41길 79,2330,2536,2730,400 
서울특별시 강동구 구천면로42길 16,1842,1809,2324,482 
서울특별시 강동구 구천면로47가길 14-38,1417,1356,2045,628 
서울특별시 강동구 구천면로47길 69-18,1450,1910,1833,383 
서울특별시 강동구 구천면로68길 38,1687,2121,1931,244 
서울특별시 강동구 동남로49길 57,2522,2973,4097,1575 
